Unnamed: 0,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Tot per 1M,Deaths per 1M,Tests,Tests per 1M,Pop,Continent
154,Burundi,38812,11,38,0,773.0,0.0,38001.0,0,3099,3.0,345742,27603,12525704,Africa
155,Mauritius,37432,19,985,0,35518.0,101.0,929.0,0,29346,772.0,358675,281191,1275555,Africa
156,Mayotte,37038,0,187,0,2964.0,0.0,33887.0,0,130132,657.0,176919,621599,284619,Africa
157,Togo,36969,0,273,0,36679.0,0.0,17.0,0,4285,32.0,726574,84224,8626677,Africa
158,Guinea,36459,0,440,0,35976.0,0.0,43.0,8,2647,32.0,660107,47933,13771510,Africa
159,Faeroe Islands,34658,0,28,0,7693.0,0.0,26937.0,5,704488,569.0,778000,15814294,49196,
160,Aruba,34345,0,212,0,34038.0,0.0,95.0,2,319254,1971.0,177885,1653529,107579,North America
161,Tanzania,33864,0,803,0,,,,7,539,13.0,0,0,62784774,Africa
162,Bahamas,33411,0,789,0,32271.0,0.0,351.0,11,83530,1973.0,229817,574563,399986,North America
163,Lesotho,32910,0,697,0,24155.0,0.0,8058.0,0,15147,321.0,431221,198471,2172719,Africa
164,Mali,30678,0,730,0,29766.0,0.0,182.0,0,1441,34.0,661162,31045,21296609,Africa
165,Haiti,30615,0,835,0,29312.0,0.0,468.0,0,2627,72.0,132422,11365,11651908,North America
166,Isle of Man,28416,0,87,0,26794.0,0.0,1535.0,0,331034,1014.0,150753,1756209,85840,Europe
167,Benin,26952,0,163,0,25506.0,0.0,1283.0,5,2123,13.0,604310,47611,12692577,Africa
168,Somalia,26485,0,1350,0,13182.0,0.0,11953.0,0,1587,81.0,400466,23997,16688240,Africa
169,Congo,24079,0,385,0,20178.0,0.0,3516.0,0,4179,67.0,347815,60367,5761644,Africa
170,Saint Lucia,23111,0,367,0,22669.0,0.0,75.0,1,124835,1982.0,141830,766098,185133,North America
171,Timor-Leste,22854,1,130,0,22704.0,0.0,20.0,0,16761,95.0,260621,191143,1363486,
172,Cayman Islands,21406,0,26,0,8553.0,0.0,12827.0,1,318983,387.0,222773,3319669,67107,North America
173,Burkina Faso,20853,0,382,0,20439.0,0.0,32.0,0,951,17.0,248995,11354,21930999,Africa
174,Nicaragua,18491,0,225,0,4225.0,0.0,14041.0,0,2733,33.0,0,0,6765956,North America
175,Gibraltar,17494,0,101,0,16579.0,0.0,814.0,0,519526,2999.0,534283,15866807,33673,Europe
176,South Sudan,17410,0,138,0,13514.0,0.0,3758.0,1,1523,12.0,374797,32793,11429174,Africa
177,Tajikistan,17388,0,124,0,17264.0,0.0,0.0,0,1753,12.0,0,0,9921825,Asia
178,Liechtenstein,17027,22,84,0,16702.0,21.0,241.0,3,444291,2192.0,102174,2666058,38324,Europe
179,San Marino,15981,0,114,0,15497.0,0.0,370.0,4,469215,3347.0,149271,4382718,34059,Europe
180,Equatorial Guinea,15907,0,183,0,15698.0,0.0,26.0,5,10707,123.0,310972,209322,1485613,Africa
181,Djibouti,15598,0,189,0,15404.0,0.0,5.0,0,15386,186.0,302030,297926,1013774,Africa
182,CAR,14649,0,113,0,6859.0,0.0,7677.0,2,2941,23.0,81294,16323,4980394,
183,Grenada,14165,0,219,0,13815.0,0.0,131.0,4,124848,1930.0,146475,1291006,113458,North America
184,Bermuda,12901,0,131,0,12563.0,0.0,207.0,0,208535,2118.0,858416,13875632,61865,North America
185,Solomon Islands,12437,0,139,0,11194.0,0.0,1104.0,2,17344,194.0,5117,7136,717089,Oceania
186,Gambia,11994,0,365,0,11591.0,0.0,38.0,0,4725,144.0,155686,61332,2538398,Africa
187,Dominica,11988,0,63,0,11903.0,0.0,22.0,0,165793,871.0,187337,2590856,72307,North America
188,Greenland,11971,0,21,0,2761.0,0.0,9189.0,4,210213,369.0,164926,2896131,56947,North America
189,Yemen,11818,0,2148,0,9001.0,0.0,669.0,23,381,69.0,265253,8555,31004041,Asia
